class_id,class_name,n_images,baseline_mass_in_mean,baseline_mass_in_std,proposed_mass_in_mean,proposed_mass_in_std,delta_mass_in,baseline_hit_top10_mean,baseline_hit_top10_std,proposed_hit_top10_mean,proposed_hit_top10_std,delta_hit_top10
0,blight,20,0.6616855978965759,0.347993725247763,0.5715257611125708,0.39673219308927427,-0.09015983678400508,0.6011252591563805,0.3131760781134381,0.5916458740233032,0.3690600474029417,-0.009479385133077334
1,curl,20,0.8552226647734642,0.16491268618195531,0.7319727011024952,0.2859980188590871,-0.12324996367096896,0.8198911145327203,0.27260612106875803,0.7608445095947843,0.2846001062014533,-0.05904660493793601
2,grey mildew,12,0.38914451623956364,0.1773383538879879,0.5682811265190443,0.257861676644829,0.17913661027948063,0.3886752253034469,0.2262740866337316,0.6173062392523914,0.30368639196107383,0.22863101394894447
4,leaf spot,20,0.3946466766297817,0.2548300780660606,0.4416978355497122,0.30024257784571023,0.0470511589199305,0.3835837987647097,0.275881668781678,0.4564856851171549,0.3198207872964627,0.07290188635244521
5,wilt,20,0.5969612324610353,0.4197930154802886,0.4693595293909311,0.36072078871012103,-0.12760170307010416,0.6607922799336677,0.3919037305555527,0.5518637789624957,0.3114660901904033,-0.10892850097117202
