class_id,class_name,image,baseline_cam_mass_in,baseline_hit_top10,proposed_cam_mass_in,proposed_hit_top10
1,curl,Screenshot-2022-10-23-163448_png_jpg.rf.41da0552210f99b8c077019e95a9e8b8.jpg,0.8642928600311279,0.7750244140623108,0.423576295375824,0.47956542968738297
1,curl,Screenshot-2022-10-23-163525_png_jpg.rf.8df071466f1438a248f081942e9fddf9.jpg,1.0,0.2520312499999938,0.8111249208450317,0.8324707031247968
1,curl,curl-102-_jpg.rf.e265f0e9f0e9ebbf1e7ab7ef726d97e2.jpg,0.941074013710022,0.999999999999756,0.8953813314437866,0.9408203124997704
1,curl,curl-110-_jpg.rf.024030dcf2254e59a4c56e625d0b987f.jpg,0.9646511077880859,0.9854003906247595,0.7771263122558594,0.6383300781248442
1,curl,curl-111-_jpg.rf.9ec647c9844ed1f176b6f0c0ec8f6eb0.jpg,0.8865941762924194,0.9809082031247606,0.8862269520759583,0.9921630859372579
1,curl,curl-125-_jpg.rf.7473bafcdbe7ccd31d41eceaad843325.jpg,0.9956377148628235,0.999999999999756,0.993905782699585,0.999999999999756
1,curl,curl-128-_jpg.rf.617b6a571d76f3d509c4821ec45ce130.jpg,0.9408064484596252,0.999829101562256,0.9240304827690125,0.9204345703122754
1,curl,curl-17-_jpg.rf.a99ed58823bb0934133ee459a238ee13.jpg,0.8832733035087585,0.9705322265622631,0.9620516300201416,0.999999999999756
1,curl,curl-185-_jpg.rf.b6af7e09882508aee8c964677dfc57fe.jpg,0.9731104373931885,0.999999999999756,0.9812436103820801,0.999999999999756
1,curl,curl-196-_jpg.rf.b21a43ef31d14921a85b1f6912b2a8d9.jpg,0.8036978840827942,0.9776855468747614,0.9427836537361145,0.9402587890622706
2,grey mildew,grey-mildew-11-_jpg.rf.b1c18665d8620867e88844c509260f17.jpg,0.19228388369083405,0.17403827377461092,0.3327445983886719,0.3694734015281928
2,grey mildew,grey-mildew-16-_jpg.rf.2af9203d15939a3c92d4e6953952c050.jpg,0.5847314596176147,0.49033203124988034,0.687233030796051,0.7287597656248221
2,grey mildew,grey-mildew-28-_jpg.rf.1cca1a0994718219f0324b34399d88eb.jpg,0.17972445487976074,0.15988769531246097,0.4607228934764862,0.6221679687498481
2,grey mildew,grey-mildew-31-_jpg.rf.9cdeb8bd524ba7fc9a201496e942fdc8.jpg,0.3115491569042206,0.3656005859374108,0.9606446027755737,0.8356689453122961
2,grey mildew,grey-mildew-38-_jpg.rf.61c2b17be370e466d16c68a5508b5f84.jpg,0.4959293603897095,0.5739257812498599,0.9153167605400085,0.9946533203122573
2,grey mildew,grey-mildew-40-_jpg.rf.c307ed96c48d925f007d450aec771156.jpg,0.3772800862789154,0.4297813140680392,0.5562098622322083,0.717236328124825
2,grey mildew,grey-mildew-44-_jpg.rf.caf753d4037de000bc556ca3ec1056c0.jpg,0.197575643658638,0.10676269531247394,0.2804073691368103,0.07944335937498061
2,grey mildew,grey-mildew-49-_jpg.rf.5b5aa06de57f137eb4264d4c3df9ba43.jpg,0.4863308072090149,0.5924660042477986,0.5674949288368225,0.5012939453123777
2,grey mildew,grey-mildew-54-_jpg.rf.eae9e2ba17c47d581a615d43a10eddfb.jpg,0.7183020114898682,0.7392578124998196,0.7725018262863159,0.9391845703122708
2,grey mildew,grey-mildew-6-_jpg.rf.9d69303dc204315c2c9e30479c6890b8.jpg,0.40052348375320435,0.42099609374989727,0.5302256345748901,0.557275390624864
2,grey mildew,grey-mildew-67-_jpg.rf.4f18583294c1a7d12cb141463551f479.jpg,0.20228885114192963,0.02345675998925445,0.6755985617637634,0.9286132812497734
2,grey mildew,grey-mildew-70-_jpg.rf.822a06a00414ca48a5e0f3e1dd3b9b22.jpg,0.5232149958610535,0.5875976562498566,0.08027344942092896,0.1339045945021889
4,leaf spot,Alternaria-leafspot-13-_jpg.rf.ce26d899b1f91a87ed4ac26935cb0f02.jpg,0.37348324060440063,0.19280902167540695,0.4603467583656311,0.2962402343749277
4,leaf spot,Alternaria-leafspot-15-_jpg.rf.6c1ae1df575593aef632a965b7a1485f.jpg,0.20507925748825073,0.19279785156245294,0.5753002166748047,0.5136837479552468
4,leaf spot,Alternaria-leafspot-33-_jpg.rf.63d4e540ee4d7cb509766ca94733bd5d.jpg,0.2832780182361603,0.2470947265624397,0.24778512120246887,0.2638916015624356
4,leaf spot,Alternaria-leafspot-47-_jpg.rf.b9ee9c624642f711018d0851f16524a4.jpg,0.3343451917171478,0.46247558593738713,0.2266692817211151,0.24076153282884044
4,leaf spot,Screenshot-2022-10-23-160728_png_jpg.rf.edda292e7032b8759d5817611103cde2.jpg,0.14170409739017487,0.07553710937498156,0.18448802828788757,0.04350585937498938
4,leaf spot,Screenshot-2022-10-23-160745_png_jpg.rf.4c367e061a983681a901dfec28a66480.jpg,0.8431411385536194,0.8559849613044467,0.4743812382221222,0.7313232421873215
4,leaf spot,Screenshot-2022-10-23-160835_png_jpg.rf.b66767fce2a24f9504849899cb0eece6.jpg,0.6542454361915588,0.6729492187498357,0.5868272185325623,0.8390624999997952
4,leaf spot,Screenshot-2022-10-23-161109_png_jpg.rf.aba244a38841afd3a947997d86ce5670.jpg,0.20557743310928345,0.17316894531245774,0.9654605388641357,0.8615756451256411
4,leaf spot,Screenshot-2022-10-23-161400_png_jpg.rf.aa67d6e3691e5fb816fcbb2f17a4dd6e.jpg,0.46704161167144775,0.385009765624906,0.8638938665390015,0.8530761718747918
4,leaf spot,Screenshot-2022-10-23-162424_png_jpg.rf.4e78a03700f4b8eed34fd61409ba87e5.jpg,0.220810204744339,0.24679573252600115,0.3737207353115082,0.5937255859373551
4,leaf spot,Screenshot-2022-10-23-163640_png_jpg.rf.58f22cdd3f736ac3ec523e30d017d45b.jpg,0.22631412744522095,0.19770507812495175,0.0,0.2003906249999951
4,leaf spot,Screenshot-2022-10-23-165826_png_jpg.rf.5b404487f47df0ae41fe889cc39f4bba.jpg,0.32274240255355835,0.3569649919436656,0.0,0.07138671874999826
4,leaf spot,Screenshot-2022-10-23-234602_png_jpg.rf.08d37c92a74500b4be045291ad8888bd.jpg,0.16248571872711182,0.23525390624994258,0.468668669462204,0.2942253246118583
4,leaf spot,Screenshot-2022-10-23-234602_png_jpg.rf.adc1e7252503bd7ae1c667b27184cba7.jpg,0.2491779625415802,0.19912627519885803,0.17213405668735504,0.13241396143516418
4,leaf spot,Screenshot-2022-10-25-002949_png_jpg.rf.5bafe155f0c0d8203e79ae0c8dd6649a.jpg,0.11758136749267578,0.00046374264723817734,0.5901186466217041,0.6626394278878567
4,leaf spot,Screenshot-2022-10-25-003409_png_jpg.rf.d3ae8ecb6a97c62b7bf218374a7e6a61.jpg,0.19922778010368347,0.15905761718746117,0.8455304503440857,0.8424804687497943
4,leaf spot,cercospora-leaf-spot-10-_jpg.rf.4625ccd1bb07e13be469957c21d81384.jpg,0.923720121383667,0.8764160156247861,0.12270919233560562,0.10341796874997476
4,leaf spot,cercospora-leaf-spot-24-_jpg.rf.22a892e17522ddfae40a345609e29b5d.jpg,0.48333603143692017,0.6395263671873439,0.13194060325622559,0.015795898437496146
4,leaf spot,cercospora-leaf-spot-25-_jpg.rf.3cb179a021143d1e179ed15e82b1a1f7.jpg,0.6213203072547913,0.6606445312498388,0.7538485527038574,0.9005126953122802
4,leaf spot,cercospora-leaf-spot-38-_jpg.rf.21c9e674f24a8ba27a1db0b30407391e.jpg,0.8583220839500427,0.8418945312497945,0.790133535861969,0.6696044921873365
5,wilt,fus347_png_jpg.rf.a8f68d95d087d8eb1bc73129c43c030d.jpg,0.9918456077575684,0.999999999999756,0.5436632633209229,0.4946533203123793
5,wilt,fus349_png_jpg.rf.e6f0c15f269cc6e8b4a64cdacec401e8.jpg,0.0,0.8269628906249797,0.0,0.8269628906249797
5,wilt,fusarium-wilt-17-_jpg.rf.1cda08abd3c3ef68282022278ffeda8c.jpg,0.6102746725082397,0.5887939453123563,0.0,0.5036718749999877
