variant,sci_name,seed,epochs,use_wiou,yaml_path,P,R,mAP50,mAP50_95,best_mAP50,best_mAP50_95,best_epoch,Params_M,FLOPs_G,RunTime_s,run_name,save_dir,results_csv,weights
baseline,YOLO11n-Baseline,3,300,0,/home/tb206/yolo_agri1/SCI1/configs/yolo11n_baseline.yaml,0.84167,0.66601,0.72899,0.60154,0.76377,0.64184,176,2.591,6.448,1480.30,SCI1_baseline_seed3_20260307_181122,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_baseline_seed3_20260307_181122,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_baseline_seed3_20260307_181122/results.csv,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_baseline_seed3_20260307_181122/weights/best.pt
drbn_wiou,DRBNWIoU,3,300,1,/home/tb206/yolo_agri1/SCI1/configs/DRBN_WIoU.yaml,0.84485,0.68769,0.74672,0.62765,0.76348,0.64490,223,2.655,6.546,1557.22,SCI1_drbn_wiou_seed3_20260307_181122,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_drbn_wiou_seed3_20260307_181122,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_drbn_wiou_seed3_20260307_181122/results.csv,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_drbn_wiou_seed3_20260307_181122/weights/best.pt
baseline,YOLO11n-Baseline,3,300,0,/home/tb206/yolo_agri1/SCI1/configs/yolo11n_baseline.yaml,0.84167,0.66601,0.72899,0.60154,0.76377,0.64184,176,2.591,6.448,1451.63,SCI1_baseline_seed3_20260307_190544,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_baseline_seed3_20260307_190544,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_baseline_seed3_20260307_190544/results.csv,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_baseline_seed3_20260307_190544/weights/best.pt
drbn_wiou,DRBNWIoU,3,300,1,/home/tb206/yolo_agri1/SCI1/configs/DRBN_WIoU.yaml,0.84485,0.68769,0.74672,0.62765,0.76348,0.64490,223,2.655,6.546,1501.18,SCI1_drbn_wiou_seed3_20260307_190544,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_drbn_wiou_seed3_20260307_190544,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_drbn_wiou_seed3_20260307_190544/results.csv,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_drbn_wiou_seed3_20260307_190544/weights/best.pt
drbn_wiou_tlpn,DRBNWIoU-TLPN,3,300,1,/home/tb206/yolo_agri1/SCI1/configs/DRBNWIoU_TLPN.yaml,0.81419,0.67144,0.72556,0.60734,0.77295,0.64274,194,2.293,6.257,1487.18,SCI1_drbn_wiou_tlpn_seed3_20260307_190544,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_drbn_wiou_tlpn_seed3_20260307_190544,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_drbn_wiou_tlpn_seed3_20260307_190544/results.csv,/home/tb206/yolo_agri1/SCI1/outputs/cotton_xevxs_v1_seed3_compare_e300/SCI1_drbn_wiou_tlpn_seed3_20260307_190544/weights/best.pt
