variant,sci_name,seed,epochs,use_wiou,yaml_path,P,R,mAP50,mAP50_95,best_mAP50,best_mAP50_95,best_epoch,Params_M,FLOPs_G,RunTime_s,run_name,save_dir,results_csv,weights
baseline,YOLO11n-Baseline,3,300,0,/home/tb206/yolo_agri1/SCI1/configs/yolo11n_baseline.yaml,0.79123,0.79480,0.84599,0.84381,0.86899,0.86471,249,2.591,6.448,1817.07,SCI1_baseline_seed3_20260307_104421,/home/tb206/yolo_agri1/SCI1/outputs/seed3_compare/SCI1_baseline_seed3_20260307_104421,/home/tb206/yolo_agri1/SCI1/outputs/seed3_compare/SCI1_baseline_seed3_20260307_104421/results.csv,/home/tb206/yolo_agri1/SCI1/outputs/seed3_compare/SCI1_baseline_seed3_20260307_104421/weights/best.pt
drbn_wiou,DRBNWIoU,3,300,1,/home/tb206/yolo_agri1/SCI1/configs/DRBN_WIoU.yaml,0.91154,0.75027,0.83801,0.83234,0.87799,0.87454,170,2.655,6.546,1891.71,SCI1_drbn_wiou_seed3_20260307_104421,/home/tb206/yolo_agri1/SCI1/outputs/seed3_compare/SCI1_drbn_wiou_seed3_20260307_104421,/home/tb206/yolo_agri1/SCI1/outputs/seed3_compare/SCI1_drbn_wiou_seed3_20260307_104421/results.csv,/home/tb206/yolo_agri1/SCI1/outputs/seed3_compare/SCI1_drbn_wiou_seed3_20260307_104421/weights/best.pt
drbn_wiou_tlpn,DRBNWIoU-TLPN,3,300,1,/home/tb206/yolo_agri1/SCI1/configs/DRBNWIoU_TLPN.yaml,0.76530,0.82284,0.86491,0.86210,0.88517,0.88371,112,2.293,6.257,1879.41,SCI1_drbn_wiou_tlpn_seed3_20260307_104421,/home/tb206/yolo_agri1/SCI1/outputs/seed3_compare/SCI1_drbn_wiou_tlpn_seed3_20260307_104421,/home/tb206/yolo_agri1/SCI1/outputs/seed3_compare/SCI1_drbn_wiou_tlpn_seed3_20260307_104421/results.csv,/home/tb206/yolo_agri1/SCI1/outputs/seed3_compare/SCI1_drbn_wiou_tlpn_seed3_20260307_104421/weights/best.pt
